id,name,track,length,country_id,direction,type,image_path,winner/data/0/driver_id,winner/data/0/team_id,winner/data/0/track_id,winner/data/0/season_id,winner/data/0/stage_id,winner/data/0/position,winner/data/0/driver_time,winner/data/0/driver_time_int,winner/data/0/best_lap_time,winner/data/0/laps,winner/data/0/grid,winner/data/0/pit,winner/data/0/retired,winner/data/0/fasted_lap_time,winner/data/0/fasted_lap,winner/data/0/driver/data/0/id,winner/data/0/driver/data/0/team_id,winner/data/0/driver/data/0/name,winner/data/0/driver/data/0/short_name,winner/data/0/driver/data/0/number,winner/data/0/driver/data/0/nationality,winner/data/0/driver/data/0/date_of_birth,winner/data/0/driver/data/0/birth_place,winner/data/0/driver/data/0/debut,winner/data/0/driver/data/0/debut_track_id,winner/data/0/driver/data/0/debut_result,winner/data/0/driver/data/0/image_path,winner/data/0/team/data/0/id,winner/data/0/team/data/0/name,winner/data/0/team/data/0/engine,winner/data/0/team/data/0/chassis,winner/data/0/team/data/0/color_code,winner/data/0/team/data/0/base,winner/data/0/team/data/0/team_lead,winner/data/0/team/data/0/technical_lead,winner/data/0/team/data/0/image_path,country/data/0/id,country/data/0/name
9,Austrian Grand Prix,Red Bull Ring,4.318,143,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/redbull-ring-circuit.png,232409,11,9,7,115336634,1,01:09.3,01:09.3,01:09.3,71,12,3,FALSE,,,232409,11,Charles Leclerc (MON),LEC,16,Monaco,16/10/1997,Monte Carlo,2018,1,P13,https://cdn.sportmonks.com/images/f1/drivers/charlesleclerc.png,11,Ferrari,Ferrari 066/3,F1-75,#dc0000,"Maranello, Italy",Mattia Binotto,Mattia Binotto,https://cdn.sportmonks.com/images/f1/teams/ferrari.png,143,Austria
21,France Grand Prix,Circuit Paul Ricard,5.842,17,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/paul-ricard-circuit.png,232402,15,21,7,115336641,1,01:38.4,01:38.4,01:38.4,53,,1,FALSE,,,232402,15,Max Verstappen (NED),VER,1,Netherlands,30/09/1997,Hasselt,2015,1,DNF,https://cdn.sportmonks.com/images/f1/drivers/maxverstappen.png,15,Red Bull,Red Bull RBPTH001,RB18,#0600ef,"Milton Keynes, Great-Britain",Christian Horner,Adrian Newey,https://cdn.sportmonks.com/images/f1/teams/redbull.png,17,France
11,Hungarian Grand Prix,Hungaroring,4.381,674,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/hungaroring-circuit.png,232402,15,11,7,115336648,1,01:28.2,01:28.2,01:28.2,70,10,2,FALSE,,,232402,15,Max Verstappen (NED),VER,1,Netherlands,30/09/1997,Hasselt,2015,1,DNF,https://cdn.sportmonks.com/images/f1/drivers/maxverstappen.png,15,Red Bull,Red Bull RBPTH001,RB18,#0600ef,"Milton Keynes, Great-Britain",Christian Horner,Adrian Newey,https://cdn.sportmonks.com/images/f1/teams/redbull.png,674,Hungary
12,Belgian Grand Prix,Spa-Francorchamps,7.004,556,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/spa-francorchamps-circuit.png,232402,15,12,7,115336655,1,25:52.9,,,44,14,2,FALSE,,,232402,15,Max Verstappen (NED),VER,1,Netherlands,30/09/1997,Hasselt,2015,1,DNF,https://cdn.sportmonks.com/images/f1/drivers/maxverstappen.png,15,Red Bull,Red Bull RBPTH001,RB18,#0600ef,"Milton Keynes, Great-Britain",Christian Horner,Adrian Newey,https://cdn.sportmonks.com/images/f1/teams/redbull.png,556,Belgium
23,Netherlands Grand Prix,Circuit Zandvoort,4.259,38,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/park-zandvoort-circuit.png,232402,15,23,7,115336662,1,01:15.1,01:15.1,01:15.1,72,1,4,FALSE,,,232402,15,Max Verstappen (NED),VER,1,Netherlands,30/09/1997,Hasselt,2015,1,DNF,https://cdn.sportmonks.com/images/f1/drivers/maxverstappen.png,15,Red Bull,Red Bull RBPTH001,RB18,#0600ef,"Milton Keynes, Great-Britain",Christian Horner,Adrian Newey,https://cdn.sportmonks.com/images/f1/teams/redbull.png,38,Netherlands
13,Italian Grand Prix,Autodromo Nazionale Monza,5.793,251,anti-clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/monza-circuit.png,232402,15,13,7,115336669,1,20:27.5,,,53,7,2,FALSE,,,232402,15,Max Verstappen (NED),VER,1,Netherlands,30/09/1997,Hasselt,2015,1,DNF,https://cdn.sportmonks.com/images/f1/drivers/maxverstappen.png,15,Red Bull,Red Bull RBPTH001,RB18,#0600ef,"Milton Keynes, Great-Britain",Christian Horner,Adrian Newey,https://cdn.sportmonks.com/images/f1/teams/redbull.png,251,Italy
14,Singapore Grand Prix,Marina Bay Circuit,5.063,213955,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/marina-bay-circuit.png,232407,15,14,7,115336676,1,,,01:49.7,60,2,1,FALSE,,,232407,15,Sergio Perez (MEX),PER,11,Mexico,26/01/1990,Guadalajara,2011,1,DNF,https://cdn.sportmonks.com/images/f1/drivers/sergioperez.png,15,Red Bull,Red Bull RBPTH001,RB18,#0600ef,"Milton Keynes, Great-Britain",Christian Horner,Adrian Newey,https://cdn.sportmonks.com/images/f1/teams/redbull.png,213955,Singapore
16,Japanese Grand Prix,Suzuka Circuit,5.807,479,50/50,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/suzuka-circuit.png,232402,15,16,7,115336683,1,01:44.0,,01:48.9,28,1,2,FALSE,,,232402,15,Max Verstappen (NED),VER,1,Netherlands,30/09/1997,Hasselt,2015,1,DNF,https://cdn.sportmonks.com/images/f1/drivers/maxverstappen.png,15,Red Bull,Red Bull RBPTH001,RB18,#0600ef,"Milton Keynes, Great-Britain",Christian Horner,Adrian Newey,https://cdn.sportmonks.com/images/f1/teams/redbull.png,479,Japan
17,USA Grand Prix,Circuit of the Americas,5.513,3483,anti-clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/austin-circuit.png,232402,15,17,7,115336690,1,01:42.1,01:42.1,01:40.7,56,2,2,FALSE,,,232402,15,Max Verstappen (NED),VER,1,Netherlands,30/09/1997,Hasselt,2015,1,DNF,https://cdn.sportmonks.com/images/f1/drivers/maxverstappen.png,15,Red Bull,Red Bull RBPTH001,RB18,#0600ef,"Milton Keynes, Great-Britain",Christian Horner,Adrian Newey,https://cdn.sportmonks.com/images/f1/teams/redbull.png,3483,USA
18,Mexican Grand Prix,Autodromo Hermanos Rodriguez,4.304,6,clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/autodromo-hermanos-rodríguez-circuit.png,232402,15,18,7,115336697,1,38:36.7,,01:22.9,71,1,1,FALSE,,,232402,15,Max Verstappen (NED),VER,1,Netherlands,30/09/1997,Hasselt,2015,1,DNF,https://cdn.sportmonks.com/images/f1/drivers/maxverstappen.png,15,Red Bull,Red Bull RBPTH001,RB18,#0600ef,"Milton Keynes, Great-Britain",Christian Horner,Adrian Newey,https://cdn.sportmonks.com/images/f1/teams/redbull.png,,
19,Brazilian Grand Prix,Autodromo Jose Carlos Pace,5.031,7,anti-clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/interlagos-circuit.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Abu Dhabi Grand Prix,Yas Marina Circuit,5.554,45,anti-clockwise,race-circuit,https://cdn.sportmonks.com/images/f1/circuits/yas-marina-circuit.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
